ID,LABEL
4728459160322025755,1
1840432070229003467,1
12623336783082722606,2
7446733850828603409,0
16180660281866613068,2
17785904220243188370,2
990274745829191092,1
7088429156905622696,2
17369666874481210376,1
9576615899507897754,2
16141276822317637352,2
16771506104143981299,0
15811201100412842097,2
3467364854750147875,0
13360824748139724965,1
15254795447514691349,2
5597524186555201900,2
8890326047186736685,2
4686400048937545983,1
3076921795218374475,0
2718791779584172831,1
9812973371314479435,0
3610877260577385462,0
8153821115308523105,0
4619871939962812050,2
15002933321799120857,0
1920526896058981819,0
383039061592749068,0
6494626360123051757,2
9028037661602933489,0
294764944802023477,0
8178059676258741256,2
9192802433722360084,0
6265171631545878713,0
17345130155830850789,1
8386634709923685402,0
16119729471503049762,1
4817110864492980701,0
1423183946050457196,1
14256451796514419549,2
3570327462785321758,2
7656866448766563095,0
5963751028488488699,2
3618937679998848053,1
4162937093316561955,2
8892601113122068302,0
7064004936357723995,2
11975841967545431873,0
14824481358138904549,0
15791994136981611846,2
7837268564763716840,0
14381604282462016510,2
17069664805356101115,1
10170884615778404482,0
3344056291547773947,0
9614748926812051792,1
7091921778443334937,0
14232829301224959483,2
5483518204244517679,0
1787956019246227615,0
13119803940819759333,0
7436828557988936608,2
2088096275709157497,1
13338710078516636980,0
11549984641016783477,2
13144333887383502861,0
17380570431089224074,1
13377675649511407340,0
5180182358223417575,1
4210422402000642838,1
1841945114645937940,1
5103511150075969206,1
10862866600428100274,1
6433460865112952347,2
3962155875908439365,0
11930342796320155781,1
6472224949456617691,2
3507997709954899016,0
1934786771919750369,0
8596378944395659904,0
14647146937856687724,2
13920778042753784228,1
12027826103328479402,0
3520764809233442929,0
13514931448637757947,1
17867513397680886428,0
11631234402978218104,0
14796191680535448979,1
4043291275899948269,1
16357773047483340429,0
11427317819009813607,1
17864501460343117647,2
14791344936781318077,2
440242184084850934,0
2014751014266513217,1
15485576629392967256,2
2991165469253608489,0
14746572962026068352,2
11351490738056618880,0
6923501543757633653,1
2279959664591031318,0
5558292441139154505,0
10957886440507877942,0
9054835699126916873,0
6025080800847784754,0
6244470773361528143,1
13587155305118197777,2
2511926118684689147,1
15973505213789634557,1
16514471969314154009,2
10316942772164716766,1
2050899076343002180,2
913520040195503221,2
3650651819458061088,0
8860541431504435559,2
1835433226534672906,2
10972185252720534581,0
15882372106489193926,0
8289507253750975470,1
12360444880882105679,1
17115765275857825825,0
13918452816940251366,0
1410602105569801384,0
4226184850433403446,0
8193623378329756980,1
2204263105564882165,0
16830804009268140481,1
5537657050073914309,0
10843870195291059247,0
7998832197442674921,0
7127500771855330523,0
9481946754073997868,0
9189867797121682675,0
9162160881887384789,0
12823642781557330715,2
1956385799482414467,0
13186548677457545873,1
3462081833055439261,0
3845331470187880369,1
3857042028167517830,1
16605394293648707180,2
18057654058448231622,2
14942134284642290375,1
16754244281987376272,2
5178331961168821184,0
6433759958109347971,1
9832895751077218214,2
10924195379669735712,1
15353386091884052146,1
4214003682322463877,2
13434851329387277833,0
4005612284833378428,2
12209774964255081293,0
17645947037181169968,0
4240187059897815575,2
8014202468162113309,1
6328827435243772219,1
17867896734348837707,1
4929526831958401205,2
11547772120383242377,0
9466933286583614907,1
17194063440374569474,0
14514417163821328854,0
7987895815104723965,0
11183925195466160388,1
14003601169113519953,0
16486626584484694232,0
12623430205807246142,2
15033561885253562518,2
17009909134742583922,0
15430520005650459443,2
5782306760592649448,1
9565173140117337963,0
4489383884735352714,2
11785483364365768592,0
10763691918479653685,2
1272548469541707491,0
14639447001909269663,0
5143121987048891696,0
7615585174728494976,1
5049774038187632709,1
7029146921312981795,0
10381369357615872649,2
3565287381794710720,0
3774270047843978391,0
13890257370968381108,0
561995559133281749,2
11951850304808508250,1
3676381980070913337,0
17985420493503098816,0
18344080604543137908,1
8803005193825309798,1
9937354709679296742,0
12136471152462148395,2
6034739004903774487,0
6587217741911355624,2
12089571269604458236,2
17179783281172355960,2
8979021703467975158,2
15275859275410181473,1
16692068130203936857,0
13461688128126596921,0
7594191506504153950,0
6200069113268341768,2
3827090853884111458,0
6054850749217538029,2
1176985392710720341,1
4923712435449907206,0
1192416209668675009,0
13186204626668651448,0
16346847526795839813,2
7206428309895483229,2
17214383603573029841,2
15759092672875467939,2
253212657079044185,2
6491028567623020239,0
14043808959960512181,0
18023729236082244985,0
5378936978892991293,0
4734394234596749293,0
14116680643540474630,0
3919887351372597391,2
2129391328572391102,0
17678034798860763259,2
12904635301299891018,2
14500908449320885013,1
7064498155836493573,0
5108152087407553912,1
1124381075978725095,0
6302259702655625888,2
13650850415931236704,0
4039572206785319497,0
10169991660245490432,1
10774488543564406819,0
4377152568696139853,0
5820160831689306204,2
12809175720762999020,1
1239559523353197093,0
13093062737639049866,2
6464112382240606317,2
4417538098929573288,0
4954876491935605174,2
14047587311612511510,0
14551461116751650120,1
